,Machine_Action
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,0
12,0
13,0
14,1
15,0
16,0
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,0
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,0
70,1
71,0
72,0
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,1
102,1
103,0
104,1
105,1
106,1
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,0
123,1
124,1
125,0
126,1
127,1
128,0
129,0
130,0
131,1
132,1
133,1
134,0
135,0
136,1
137,1
138,0
139,1
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,1
150,0
151,1
152,0
153,1
154,0
155,1
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,0
173,1
174,0
175,0
176,1
177,1
178,1
179,0
180,1
181,0
182,0
183,1
184,0
185,1
186,0
187,1
188,0
189,1
190,0
191,1
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,1
204,1
205,0
206,1
207,1
208,1
209,0
210,1
211,0
212,0
213,0
214,1
215,0
216,0
217,1
218,1
219,1
220,0
221,1
222,0
223,0
224,1
225,0
226,1
227,1
228,1
229,0
230,0
231,0
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,1
240,1
241,0
242,0
243,1
244,0
245,1
246,1
247,0
248,0
249,0
250,0
251,1
252,0
253,1
254,0
255,0
256,1
257,0
258,1
259,0
260,1
261,0
262,1
263,0
264,1
265,1
266,1
267,0
268,0
269,1
270,0
271,1
272,1
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,1
281,0
282,1
283,0
284,1
285,0
286,1
287,0
288,1
289,0
290,0
291,1
292,0
293,1
294,0
295,0
296,1
297,0
298,0
299,1
300,0
301,1
302,0
303,1
304,0
305,1
306,0
307,0
308,1
309,0
310,1
311,1
312,0
313,0
314,1
315,0
316,1
317,0
318,1
319,1
320,0
321,0
322,0
323,1
324,0
325,1
326,1
327,0
328,1
329,0
330,1
331,1
332,0
333,0
334,1
335,0
336,1
337,1
338,1
339,0
340,0
341,0
342,1
343,1
344,0
345,1
346,1
347,1
348,0
349,0
350,1
351,0
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,0
365,0
366,1
367,1
368,0
369,1
370,0
371,1
372,1
373,0
374,1
375,1
376,0
377,1
378,0
379,0
380,1
381,1
382,0
383,0
384,1
385,0
386,1
387,1
388,0
389,1
390,0
391,1
392,1
393,0
394,1
395,0
396,1
397,1
398,0
399,0
400,1
401,1
402,0
403,1
404,0
405,1
406,0
407,1
408,0
409,1
410,1
411,0
412,1
413,0
414,1
415,0
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,1
424,0
425,1
426,1
427,0
428,1
429,0
430,1
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,1
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,1
462,0
463,1
464,0
465,1
466,1
467,0
468,1
469,0
470,1
471,0
472,1
473,0
474,1
475,0
476,1
477,1
478,0
479,0
480,1
481,1
482,0
483,1
484,0
485,1
486,0
487,1
488,1
489,0
490,1
491,0
492,1
493,1
494,0
495,1
496,1
497,1
498,0
499,0
500,1
501,0
502,1
503,0
504,1
505,0
506,1
507,0
508,1
509,0
510,0
511,0
512,0
513,1
514,1
515,1
516,1
517,0
518,1
519,1
520,0
521,1
522,0
523,0
524,0
525,1
526,0
527,0
528,1
529,1
530,1
531,0
