,Machine_Action
0,0
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,1
25,1
26,0
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,1
124,0
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,1
145,1
146,0
147,0
148,0
149,1
150,1
151,1
152,1
153,0
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,1
162,0
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,1
171,0
172,0
173,1
174,0
175,1
176,1
177,0
178,0
179,0
180,1
181,0
182,1
183,1
184,1
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,1
193,1
194,0
195,0
196,1
197,1
198,0
199,0
200,0
201,1
202,1
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,0
212,1
213,1
214,0
215,0
216,0
217,1
218,1
219,0
220,1
221,0
222,0
223,1
224,0
225,1
226,1
227,0
228,0
229,1
230,0
231,1
232,1
233,0
234,0
235,0
236,1
237,1
238,0
239,0
240,1
241,1
242,0
243,0
244,1
245,0
246,1
247,0
248,1
249,0
250,1
251,0
252,1
253,0
254,0
255,1
256,0
257,1
258,0
259,1
260,1
261,1
262,0
263,0
264,0
265,0
266,0
267,1
268,1
269,1
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,1
278,1
279,0
280,0
281,1
282,0
283,1
284,0
285,1
286,0
287,1
288,0
289,0
290,1
291,0
292,1
293,1
294,0
295,0
296,0
297,1
298,1
299,0
300,0
301,1
302,1
303,0
304,0
305,1
306,1
307,0
308,0
309,1
310,0
311,1
312,0
313,1
314,0
315,1
316,0
317,1
318,0
319,1
320,0
321,0
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,0
331,1
332,1
333,1
334,0
335,0
336,0
337,0
338,1
339,1
340,0
341,0
342,1
343,1
344,0
345,0
346,1
347,0
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,1
361,0
362,1
363,0
364,1
365,0
366,0
367,1
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,0
378,1
379,0
380,0
381,1
382,1
383,0
384,0
385,1
386,1
387,0
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,1
398,0
399,1
400,0
401,1
402,0
403,1
404,0
405,1
406,0
407,1
408,0
409,1
410,0
411,0
412,1
413,1
414,0
415,0
416,1
417,1
418,0
419,0
420,1
421,1
422,0
423,0
424,1
425,0
426,1
427,0
428,1
429,0
430,1
431,0
432,0
433,1
434,1
435,0
436,0
437,1
438,1
439,0
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,1
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,0
458,1
459,0
460,1
461,0
462,1
463,0
464,1
465,0
466,1
467,0
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,0
484,1
485,1
486,0
487,1
488,0
489,0
490,1
491,1
492,0
493,0
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,0
502,1
503,0
504,0
505,1
506,1
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,1
523,0
524,1
525,1
526,0
527,1
528,0
529,0
530,1
531,0
