,Machine_Action
0,0
1,0
2,1
3,1
4,0
5,1
6,0
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,0
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,0
100,0
101,0
102,0
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,0
114,0
115,0
116,1
117,0
118,1
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,1
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,1
149,1
150,1
151,1
152,0
153,0
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,1
170,1
171,1
172,0
173,1
174,0
175,1
176,0
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,0
185,0
186,1
187,1
188,0
189,1
190,0
191,1
192,1
193,1
194,1
195,0
196,1
197,0
198,1
199,0
200,0
201,1
202,1
203,0
204,0
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,1
232,0
233,0
234,1
235,0
236,1
237,0
238,1
239,0
240,1
241,0
242,0
243,0
244,1
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,1
255,0
256,1
257,1
258,0
259,0
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,0
290,1
291,1
292,1
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,1
312,0
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,1
321,1
322,0
323,1
324,0
325,1
326,1
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,1
343,1
344,0
345,0
346,1
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,1
359,0
360,0
361,0
362,1
363,0
364,1
365,1
366,0
367,1
368,1
369,1
370,0
371,0
372,1
373,1
374,1
375,0
376,0
377,1
378,1
379,0
380,1
381,0
382,0
383,1
384,1
385,1
386,1
387,0
388,0
389,1
390,1
391,1
392,1
393,0
394,0
395,1
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,1
404,0
405,1
406,0
407,1
408,1
409,0
410,0
411,1
412,0
413,0
414,1
415,0
416,1
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,1
426,0
427,0
428,1
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,0
451,1
452,1
453,0
454,1
455,0
456,1
457,1
458,1
459,1
460,0
461,1
462,0
463,0
464,1
465,1
466,1
467,0
468,0
469,0
470,1
471,0
472,1
473,1
474,0
475,1
476,0
477,0
478,1
479,0
480,0
481,1
482,1
483,0
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,0
492,0
493,0
494,1
495,1
496,0
497,0
498,0
499,0
500,1
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,1
509,0
510,1
511,1
512,1
513,0
514,1
515,1
516,0
517,1
518,1
519,0
520,1
521,1
522,0
523,0
524,1
525,0
526,1
527,0
528,0
529,1
530,0
531,1
532,0
533,1
534,1
535,1
536,1
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,0
545,0
546,1
547,1
548,0
549,1
550,0
551,1
552,1
553,0
554,0
555,1
556,0
557,1
558,0
559,0
560,1
561,0
562,0
563,0
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,1
587,1
588,0
589,0
590,0
591,1
592,0
593,0
594,1
595,1
